date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:50	11710/11710	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2019:04:49%20GMT	https://t.me/+0ANleD6fIjU0OTE1	C:/My%20Web%20Sites/realTrader/t.me/+0ANleD6fIjU0OTE1.html	(from )
00:34:50	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Feb%202023%2019:04:49%20GMT	https://t.me/robots.txt		(from )
00:34:51	5644/5644	---M--	200	added ('OK')	image/png	etag:%2262616083-160c%22	http://telegram.org/img/apple-touch-icon.png	C:/My%20Web%20Sites/realTrader/telegram.org/img/apple-touch-icon.png	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:51	1043/1043	---M--	200	added ('OK')	image/png	etag:%2262616083-413%22	http://telegram.org/img/favicon-32x32.png	C:/My%20Web%20Sites/realTrader/telegram.org/img/favicon-32x32.png	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:51	535/535	---M--	200	added ('OK')	image/png	etag:%2262616083-217%22	http://telegram.org/img/favicon-16x16.png	C:/My%20Web%20Sites/realTrader/telegram.org/img/favicon-16x16.png	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:52	6166/6166	---MCZ	200	added ('OK')	text/css	etag:W/%2263512b7d-1816%22	http://telegram.org/css/font-roboto.css?1	C:/My%20Web%20Sites/realTrader/telegram.org/css/font-robotoc4ca.css	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:52	42523/42523	---MCZ	200	added ('OK')	text/css	etag:W/%225a05e7c6-a61b%22	http://telegram.org/css/bootstrap.min.css?3	C:/My%20Web%20Sites/realTrader/telegram.org/css/bootstrap.mineccb.css	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:54	114832/114832	---MCZ	200	added ('OK')	text/css	etag:W/%2263b70e44-1c090%22	http://telegram.org/css/telegram.css?234	C:/My%20Web%20Sites/realTrader/telegram.org/css/telegram289d.css	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:54	22661/22661	---M--	200	added ('OK')	image/jpeg	etag:%222558742d0fee82028581a49a0aa969466c677220%22	https://cdn5.telegram-cdn.org/file/E4gckVgUTFFj2t17IWG6bwcfMYYCMq_fGTXRTmytkaZET2O4ewnAsgq5e-aozeGitZF6aCwqf8dZQxZ7L6OasoZNXMS87yzIMhpAZNBo95yS4GBpdeCoSocfaw2XhJmMsiTRhPuPlW5Eo45Q46MVVCNpVtc-5rKyBaxajDBDu2fLvIhs7ZSGsWvqTxX8aNQjwf3TAvSaRcLqAnX57fWW1odH6o2Z2KCGjUjsXGQSYCLx1PNzIh0JX-Z4jvlLF7SdF2T1QSwu7OuSDna8vDEiA4mUlesDUpa371vX0DQRHFzVNrV_7aEDcGXoYwo0RsPjvE5k6QFR1Z8iaDLT0UbYOw.jpg	C:/My%20Web%20Sites/realTrader/cdn5.telegram-cdn.org/file/E4gckVgUTFFj2t17IWG6bwcfMYYCMq_fGTXRTmytkaZET2O4ewnAsgq5e-aozeGitZF6aCwqf8dZQxZ7L6OasoZNXMS87yzIMhpAZNBo95yS4GBpdeCoSocfaw2XhJmMsiTRhPuPlW5Eo45Q46MVVCNpVtc-5rKyBaxajDBDu2fLvIhs7ZSGsW	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:54	10818/10818	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2019:04:52%20GMT	https://t.me/future_bull	C:/My%20Web%20Sites/realTrader/t.me/future_bull.html	(from https://t.me/+0ANleD6fIjU0OTE1)
00:34:54	2979/2979	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262211da5-ba3%22	http://telegram.org/js/tgwallpaper.min.js?3	C:/My%20Web%20Sites/realTrader/telegram.org/js/tgwallpaper.mineccb.js	(from https://t.me/+0ANleD6fIjU0OTE1)
