date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:11	11711/11711	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202023%2014:28:11%20GMT	https://t.me/+0ANleD6fIjU0OTE1	C:/My%20Web%20Sites/teleScript/t.me/+0ANleD6fIjU0OTE1.html	(from )
19:58:11	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Feb%202023%2014:28:11%20GMT	https://t.me/robots.txt		(from )
19:58:12	5644/5644	---M--	200	added ('OK')	image/png	etag:%2262616083-160c%22	http://telegram.org/img/apple-touch-icon.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/apple-touch-icon.png	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:12	1043/1043	---M--	200	added ('OK')	image/png	etag:%2262616083-413%22	http://telegram.org/img/favicon-32x32.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/favicon-32x32.png	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:13	535/535	---M--	200	added ('OK')	image/png	etag:%2262616083-217%22	http://telegram.org/img/favicon-16x16.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/favicon-16x16.png	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:13	6166/6166	---MCZ	200	added ('OK')	text/css	etag:W/%2263512b7d-1816%22	http://telegram.org/css/font-roboto.css?1	C:/My%20Web%20Sites/teleScript/telegram.org/css/font-robotoc4ca.css	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:14	42523/42523	---MCZ	200	added ('OK')	text/css	etag:W/%225a05e7c6-a61b%22	http://telegram.org/css/bootstrap.min.css?3	C:/My%20Web%20Sites/teleScript/telegram.org/css/bootstrap.mineccb.css	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:15	114832/114832	---MCZ	200	added ('OK')	text/css	etag:W/%2263b70e44-1c090%22	http://telegram.org/css/telegram.css?234	C:/My%20Web%20Sites/teleScript/telegram.org/css/telegram289d.css	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:15	22661/22661	---M--	200	added ('OK')	image/jpeg	etag:%222558742d0fee82028581a49a0aa969466c677220%22	https://cdn5.telegram-cdn.org/file/GS3efaMuhEztWI4w-pYw8XR0ORN-SPiK2RDsRxruaVuIU-JKcH8DJtkgWRF2GyaphJCJT8S3khg0aGd7o-Cme0o1OrXioGU6sEACyklM-QvST-_4JHa8Z6qJBn8u1fy0ukctrQ5pSKyxMF50zNvTHvv8day0p065eEIvSAh0Opk4sHHIUy1r7rT4fSgJSl0xSpSN87k3xVEHZI3T8ZX50Qj4oOdfA8bknBfnsBVPiqLWoeGP9oluRPeFwpwVngNpQypRF3xAUZ6E2-G68q6h7X23PJmC8k2yoJIOxlIQpld46dMjEK18a2CNJ3Zt2wEJ7JZ2gBfoyZRBDpwKbXcr2w.jpg	C:/My%20Web%20Sites/teleScript/cdn5.telegram-cdn.org/file/GS3efaMuhEztWI4w-pYw8XR0ORN-SPiK2RDsRxruaVuIU-JKcH8DJtkgWRF2GyaphJCJT8S3khg0aGd7o-Cme0o1OrXioGU6sEACyklM-QvST-_4JHa8Z6qJBn8u1fy0ukctrQ5pSKyxMF50zNvTHvv8day0p065eEIvSAh0Opk4sHHIUy1r7r	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:15	10818/10818	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202023%2014:28:14%20GMT	https://t.me/future_bull	C:/My%20Web%20Sites/teleScript/t.me/future_bull.html	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:15	2979/2979	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262211da5-ba3%22	http://telegram.org/js/tgwallpaper.min.js?3	C:/My%20Web%20Sites/teleScript/telegram.org/js/tgwallpaper.mineccb.js	(from https://t.me/+0ANleD6fIjU0OTE1)
19:58:16	1193/1193	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-4a9%22	http://telegram.org/img/dropdown_1x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/dropdown_1x.png	(from http://telegram.org/css/telegram.css?234)
19:58:16	184/184	---M--	200	added ('OK')	image/png	etag:%225d5430a6-b8%22	http://telegram.org/img/bullet.png?3	C:/My%20Web%20Sites/teleScript/telegram.org/img/bulleteccb.png	(from http://telegram.org/css/telegram.css?234)
19:58:17	910/910	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-38e%22	http://telegram.org/img/link-icon.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/link-icon.png	(from http://telegram.org/css/telegram.css?234)
19:58:17	1021/1021	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-3fd%22	http://telegram.org/img/breadcrumb_divider_1x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/breadcrumb_divider_1x.png	(from http://telegram.org/css/telegram.css?234)
19:58:17	1083/1083	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-43b%22	http://telegram.org/img/back_to_top_1x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/back_to_top_1x.png	(from http://telegram.org/css/telegram.css?234)
19:58:18	7389/7389	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-1cdd%22	http://telegram.org/img/SiteAward.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteAward.gif	(from http://telegram.org/css/telegram.css?234)
19:58:19	31391/31391	---M--	200	added ('OK')	image/jpeg	etag:%225cffb181-7a9f%22	http://telegram.org/img/SiteTDesktop.jpg	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteTDesktop.jpg	(from http://telegram.org/css/telegram.css?234)
19:58:20	992/992	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-3e0%22	http://telegram.org/img/tl_arrow.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_arrow.png	(from http://telegram.org/css/telegram.css?234)
19:58:21	21090/21090	---M--	200	added ('OK')	image/jpeg	etag:%225eb6fd6e-5262%22	http://telegram.org/img/SiteAndroid.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteAndroidc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:58:22	1272/1272	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-4f8%22	http://telegram.org/img/twitter.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/twitter.png	(from http://telegram.org/css/telegram.css?234)
19:58:22	31305/31305	---M--	200	added ('OK')	image/jpeg	etag:%225eb6fd6e-7a49%22	http://telegram.org/img/SiteiOS.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteiOSc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:58:25	24214/24214	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5e96%22	http://telegram.org/img/tl_card_fast.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_fast.gif	(from http://telegram.org/css/telegram.css?234)
19:58:26	23707/23707	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5c9b%22	http://telegram.org/img/tl_card_powerful.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_powerful.gif	(from http://telegram.org/css/telegram.css?234)
19:58:26	23097/23097	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5a39%22	http://telegram.org/img/tl_card_free.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_free.gif	(from http://telegram.org/css/telegram.css?234)
19:58:28	18921/18921	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-49e9%22	http://telegram.org/img/tl_card_secure.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_secure.gif	(from http://telegram.org/css/telegram.css?234)
19:58:28	12178/12178	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-2f92%22	http://telegram.org/img/tl_card_cloud.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_cloud.gif	(from http://telegram.org/css/telegram.css?234)
19:58:30	18134/18134	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-46d6%22	http://telegram.org/img/tl_card_private.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_private.gif	(from http://telegram.org/css/telegram.css?234)
19:58:32	20434/20434	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-4fd2%22	http://telegram.org/img/tl_card_open.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_open.gif	(from http://telegram.org/css/telegram.css?234)
19:58:32	24124/24124	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5e3c%22	http://telegram.org/img/tl_card_decentralized.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_decentralized.gif	(from http://telegram.org/css/telegram.css?234)
19:58:33	21018/21018	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-521a%22	http://telegram.org/img/tl_card_wecandoit.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_wecandoit.gif	(from http://telegram.org/css/telegram.css?234)
19:58:33	97628/97628	---M--	200	added ('OK')	image/jpeg	etag:%225cffb181-17d5c%22	http://telegram.org/img/SiteDesktop.jpg?2	C:/My%20Web%20Sites/teleScript/telegram.org/img/SiteDesktopc81e.jpg	(from http://telegram.org/css/telegram.css?234)
19:58:35	24441/24441	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5f79%22	http://telegram.org/img/tl_card_connect.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_connect.gif	(from http://telegram.org/css/telegram.css?234)
19:58:36	22727/22727	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-58c7%22	http://telegram.org/img/tl_card_coordinate.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_coordinate.gif	(from http://telegram.org/css/telegram.css?234)
19:58:37	22574/22574	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-582e%22	http://telegram.org/img/tl_card_synchronize.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_synchronize.gif	(from http://telegram.org/css/telegram.css?234)
19:58:37	21567/21567	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-543f%22	http://telegram.org/img/tl_card_build.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_build.gif	(from http://telegram.org/css/telegram.css?234)
19:58:39	22372/22372	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5764%22	http://telegram.org/img/tl_card_encrypt.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_encrypt.gif	(from http://telegram.org/css/telegram.css?234)
19:58:41	25298/25298	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-62d2%22	http://telegram.org/img/tl_card_process.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_process.gif	(from http://telegram.org/css/telegram.css?234)
19:58:42	33771/33771	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-83eb%22	http://telegram.org/img/tl_card_send.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_send.gif	(from http://telegram.org/css/telegram.css?234)
19:58:42	24222/24222	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5e9e%22	http://telegram.org/img/tl_card_destruct.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_destruct.gif	(from http://telegram.org/css/telegram.css?234)
19:58:42	23639/23639	---M--	200	added ('OK')	image/gif	etag:%225a05e7c6-5c57%22	http://telegram.org/img/tl_card_store.gif	C:/My%20Web%20Sites/teleScript/telegram.org/img/tl_card_store.gif	(from http://telegram.org/css/telegram.css?234)
19:58:43	3043/3043	---M--	200	added ('OK')	image/png	etag:%225ad73458-be3%22	http://telegram.org/img/rc_icons.png?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/rc_iconsc4ca.png	(from http://telegram.org/css/telegram.css?234)
19:58:43	988/988	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-3dc%22	http://telegram.org/img/tgme/Arrow_1x.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/tgme/Arrow_1x.png	(from http://telegram.org/css/telegram.css?234)
19:58:44	1352/1352	---M--	200	added ('OK')	image/png	etag:%225c90f826-548%22	http://telegram.org/img/blog/BlogLogo1x.png?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/blog/BlogLogo1xc4ca.png	(from http://telegram.org/css/telegram.css?234)
19:58:45	5819/5819	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-16bb%22	http://telegram.org/img/td_icons.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/td_icons.png	(from http://telegram.org/css/telegram.css?234)
19:58:57	96705/96705	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-179c1%22	http://telegram.org/img/iPhone6.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/iPhone6.png	(from http://telegram.org/css/telegram.css?234)
19:59:03	34484/34484	---M--	200	added ('OK')	image/jpeg	etag:%2260761719-86b4%22	http://telegram.org/img/tdirect.jpg?1	C:/My%20Web%20Sites/teleScript/telegram.org/img/tdirectc4ca.jpg	(from http://telegram.org/css/telegram.css?234)
19:59:03	105466/105466	---M--	200	added ('OK')	image/png	etag:%225e44f29c-19bfa%22	https://osx.telegram.org/updates/site/artboard.png	C:/My%20Web%20Sites/teleScript/osx.telegram.org/updates/site/artboard.png	(from http://telegram.org/css/telegram.css?234)
19:59:04	1525/1525	---M--	200	added ('OK')	image/png	etag:%225a05e7c6-5f5%22	http://telegram.org/img/dropdown.png	C:/My%20Web%20Sites/teleScript/telegram.org/img/dropdown.png	(from http://telegram.org/css/telegram.css?234)
